Agent,layout,depth,average score,average turn time
AlphaBetaAgent,minimaxClassic,2,227.42857142857142,0.0017724312857142867
AlphaBetaAgent,minimaxClassic,3,83.71428571428571,0.0023843692083333353
AlphaBetaAgent,minimaxClassic,4,-60.857142857142854,0.002375938461538468
AlphaBetaAgent,trappedClassic,2,-501.0,0.0007308788571428471
AlphaBetaAgent,trappedClassic,3,-501.0,0.0005750848571428602
AlphaBetaAgent,trappedClassic,4,-501.0,0.0007246615714285707
AlphaBetaAgent,testClassic,2,562.2857142857143,0.003506000080645156
AlphaBetaAgent,testClassic,3,563.4285714285714,0.003106495836206899
AlphaBetaAgent,testClassic,4,562.8571428571429,0.0030947111749999867
AlphaBetaAgent,smallClassic,2,729.8571428571429,0.00582777489361702
AlphaBetaAgent,smallClassic,3,833.7142857142857,0.006179095696969685
AlphaBetaAgent,smallClassic,4,1367.142857142857,0.005332405265384684
AlphaBetaAgent,originalClassic,2,2043.142857142857,0.008618821811710526
AlphaBetaAgent,originalClassic,3,2693.1428571428573,0.012695690460586816
AlphaBetaAgent,originalClassic,4,1452.7142857142858,0.022069591149777325
AlphaBetaAgent,openClassic,2,1352.142857142857,0.01646843896587673
AlphaBetaAgent,openClassic,3,1343.5714285714287,0.01513877803606678
AlphaBetaAgent,openClassic,4,1394.7142857142858,0.01355449427481828
AlphaBetaAgent,mediumClassic,2,1889.2857142857142,0.00517923170592869
AlphaBetaAgent,mediumClassic,3,1698.0,0.005388691204226344
AlphaBetaAgent,mediumClassic,4,1440.142857142857,0.005166630848989801
AlphaBetaAgent,contestClassic,2,1519.2857142857142,0.004364271961006828
AlphaBetaAgent,contestClassic,3,2246.8571428571427,0.007954699721555747
AlphaBetaAgent,contestClassic,4,2052.5714285714284,0.008153209117464049
AlphaBetaAgent,trickyClassic,2,1007.5714285714286,0.009228552650337967
AlphaBetaAgent,trickyClassic,3,2100.0,0.02201951803140451
AlphaBetaAgent,trickyClassic,4,753.5714285714286,0.07055952821375357
AlphaBetaAgent,capsuleClassic,2,620.5714285714286,0.0028447757719546026
AlphaBetaAgent,capsuleClassic,3,297.2857142857143,0.0042912337344186815
AlphaBetaAgent,capsuleClassic,4,336.0,0.004418172059871586
