Agent,layout,depth,average score,average turn time
RandomExpectimaxAgent,minimaxClassic,2,83.85714285714286,0.003307996565217391
RandomExpectimaxAgent,minimaxClassic,3,371.7142857142857,0.005092760857142854
RandomExpectimaxAgent,minimaxClassic,4,226.71428571428572,0.0035943373939393976
RandomExpectimaxAgent,trappedClassic,2,-58.42857142857143,0.000935016275862068
RandomExpectimaxAgent,trappedClassic,3,-353.57142857142856,0.001220207799999991
RandomExpectimaxAgent,trappedClassic,4,-206.0,0.0010149995909091004
RandomExpectimaxAgent,testClassic,2,562.0,0.005789264174603175
RandomExpectimaxAgent,testClassic,3,562.8571428571429,0.005368449416666671
RandomExpectimaxAgent,testClassic,4,562.5714285714286,0.006265792122950824
RandomExpectimaxAgent,smallClassic,2,543.7142857142857,0.014212123781588457
RandomExpectimaxAgent,smallClassic,3,576.0,0.011153300484555944
RandomExpectimaxAgent,smallClassic,4,810.4285714285714,0.012498733118712262
RandomExpectimaxAgent,originalClassic,2,2224.5714285714284,0.015059485487709039
RandomExpectimaxAgent,originalClassic,3,1947.7142857142858,0.019470044085176354
RandomExpectimaxAgent,originalClassic,4,1782.2857142857142,0.03543873067040531
RandomExpectimaxAgent,openClassic,2,1368.0,0.042193979061441914
RandomExpectimaxAgent,openClassic,3,1370.5714285714287,0.04106178484881245
RandomExpectimaxAgent,openClassic,4,1245.0,0.03989281127309655
RandomExpectimaxAgent,mediumClassic,2,1010.0,0.010907633960000718
RandomExpectimaxAgent,mediumClassic,3,672.8571428571429,0.012802982362500005
RandomExpectimaxAgent,mediumClassic,4,1171.5714285714287,0.010289383655913588
RandomExpectimaxAgent,contestClassic,2,1762.5714285714287,0.007464516533254271
RandomExpectimaxAgent,contestClassic,3,1456.857142857143,0.014704587601023179
RandomExpectimaxAgent,contestClassic,4,1625.0,0.013417937154497335
RandomExpectimaxAgent,trickyClassic,2,61.42857142857143,0.01868017529421497
RandomExpectimaxAgent,trickyClassic,3,1129.4285714285713,0.04848898310046245
RandomExpectimaxAgent,trickyClassic,4,431.2857142857143,0.18177625335976316
RandomExpectimaxAgent,capsuleClassic,2,542.0,0.003288630680554208
RandomExpectimaxAgent,capsuleClassic,3,388.2857142857143,0.007014843007108682
RandomExpectimaxAgent,capsuleClassic,4,197.0,0.005746192284779462
